Frame ID,Mean Entropy,Frame Type
1.0,0.9174108381157992,Non-Switch
10.0,0.007651002937849447,Non-Switch
100.0,0.006991061167211675,Non-Switch
1000.0,0.008079163824280857,Non-Switch
1001.0,0.008079593109100785,Non-Switch
1002.0,0.008062512410279742,Non-Switch
1003.0,0.008143256249438142,Non-Switch
1004.0,0.008403419645494705,Non-Switch
1005.0,0.008401555380431643,Non-Switch
1006.0,0.008491746172857357,Non-Switch
1007.0,0.00871831383295944,Non-Switch
1008.0,0.008562867717061428,Non-Switch
1009.0,0.008491669586833143,Non-Switch
101.0,0.00701701308050398,Non-Switch
1010.0,0.008650441820326553,Non-Switch
1011.0,0.008667821473364916,Non-Switch
1012.0,0.00906152939781645,Non-Switch
1013.0,0.009028211790055161,Non-Switch
1014.0,0.009148566727104861,Non-Switch
1015.0,0.00925631385787041,Non-Switch
1016.0,0.009329076627137207,Non-Switch
1017.0,0.009655799324499368,Non-Switch
1018.0,0.010228583512354573,Non-Switch
1019.0,0.010263332741322849,Non-Switch
102.0,0.007056817658877501,Non-Switch
1020.0,0.010284893050753084,Non-Switch
1021.0,0.010273048417482137,Non-Switch
1022.0,0.010072927120793591,Non-Switch
1023.0,0.009938710785168689,Non-Switch
1024.0,0.010018840592518927,Non-Switch
1025.0,0.010230627149948029,Non-Switch
1026.0,0.010197960523392544,Non-Switch
1027.0,0.00969188612166244,Non-Switch
1028.0,0.00948401351315493,Non-Switch
1029.0,0.00957594966076401,Non-Switch
103.0,0.007067320693110272,Non-Switch
1030.0,0.00937806077950053,Non-Switch
1031.0,0.009313005654582754,Non-Switch
1032.0,0.009430162117410743,Non-Switch
1033.0,0.009335703333653264,Non-Switch
1034.0,0.009532544195638048,Non-Switch
1035.0,0.009598228803930272,Non-Switch
1036.0,0.009580993589446345,Non-Switch
1037.0,0.009565657574001438,Non-Switch
1038.0,0.009675922638264776,Non-Switch
1039.0,0.009737166600767145,Non-Switch
104.0,0.007106558266181729,Non-Switch
1040.0,0.009685447521170764,Non-Switch
1041.0,0.009860145616856962,Non-Switch
1042.0,0.009849993265998216,Non-Switch
1043.0,0.009565510448218083,Non-Switch
1044.0,0.009226925650596999,Non-Switch
1045.0,0.009205945110806196,Non-Switch
1046.0,0.009064048003121468,Non-Switch
1047.0,0.00894589525017149,Non-Switch
1048.0,0.008753773833976984,Non-Switch
1049.0,0.008783465698118326,Non-Switch
105.0,0.007035360807760676,Non-Switch
