Frame ID,Mean Entropy,Frame Type,pred_path,dataset,id,animal
1575.0,0.0213752560979064,ID Switch,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1576.0,0.0171265416027987,ID Switch,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1577.0,0.0541648771210472,ID Switch,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1.0,0.921097802184996,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
10.0,0.0954900239787983,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
100.0,0.0200418074250441,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1000.0,0.3004910112925639,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1001.0,0.3970246152478821,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1002.0,0.2364120813989154,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1003.0,0.1050605037850962,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1004.0,0.0529568548580133,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1005.0,0.0221564174214988,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1006.0,0.0135315990007291,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1007.0,0.00812551516411,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1008.0,0.0121748883307231,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
1009.0,0.0130231940997184,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
101.0,0.0176081051177447,Correctly Tracked,/root/vast/mustafa/dreem-experiments/paper-plots/uncertainty-animals/no-post-processing-no-weight-iou-entropies/20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560_frame_meta_entropy_histogram.csv,Mice-hc,20200111_USVpairs_court1,Mice
